AutoDrive,s: Angle,Error,S,m: S,F,R,FS1,Seat,Pow
>>>>>>>>>>>>>>>>>>>>>>> Saved Origin x=0 , y=0:  gps_p_goN = -285302245, gps_p_goE = 283197864
>>>>>>>>>>>>>>>>>>>>>>> Saved Directional x=something , y=0:  gps_p_gyN = -285304347, gps_p_gyE = 283195992
Created Path successfully
1,-2.000000,0.120900,33.005676,23.300001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,21.940001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,20.570002,1,0,1,1,1
1,-2.000000,0.120900,33.005676,21.060001,1,0,1,1,1
1,-2.000000,0.057894,15.805059,20.460001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,20.000000,1,0,1,1,1
1,-2.000000,0.141918,38.743534,19.250000,1,0,1,1,1
1,-2.000000,0.162920,44.477028,20.940001,1,0,1,1,1
1,-2.000000,0.078896,21.538620,18.270000,1,0,1,1,1
1,-2.000000,0.183922,50.210590,20.530001,1,0,1,1,1
1,-2.000000,0.162920,44.477028,21.280001,1,0,1,1,1
1,-2.000000,0.141918,38.743534,17.290001,1,0,1,1,1
1,-2.000000,0.099898,27.272116,19.890001,1,0,1,1,1
1,-2.000000,-0.068118,18.596174,18.050001,1,0,1,1,1
1,-2.000000,-0.173143,47.268143,19.420000,1,0,1,1,1
1,-2.000000,0.057894,15.805059,20.080000,1,0,1,1,1
1,-2.000000,0.057894,15.805059,19.450001,1,0,1,1,1
1,-2.000000,-0.194145,53.001675,20.570002,1,0,1,1,1
1,-2.000000,-0.194145,53.001675,20.690001,1,0,1,1,1
1,-2.000000,0.078896,21.538620,19.890001,1,0,1,1,1
1,-2.000000,0.057894,15.805059,19.430000,1,0,1,1,1
1,-2.000000,-0.194145,53.001675,22.130001,1,0,1,1,1
1,-2.000000,0.099898,27.272116,22.660002,1,0,1,1,1
1,-2.000000,-0.299171,81.673676,18.390001,1,0,1,1,1
1,-2.000000,0.015890,0.000000,19.500000,1,0,1,1,1
1,-2.000000,0.078896,21.538620,21.480001,1,0,1,1,1
1,-2.000000,0.141918,38.743534,18.440001,1,0,1,1,1
1,-2.000000,0.057894,15.805059,19.350000,1,0,1,1,1
1,-2.000000,0.078896,21.538620,19.950001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,18.570002,1,0,1,1,1
1,-2.000000,0.078896,21.538620,18.390001,1,0,1,1,1
1,-2.000000,0.141918,38.743534,18.440001,1,0,1,1,1
1,-2.000000,-0.383179,104.607819,20.360001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,18.870001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,20.160000,1,0,1,1,1
1,-2.000000,0.120900,33.005676,21.630001,1,0,1,1,1
1,-2.000000,0.078896,21.538620,22.130001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,17.600000,1,0,1,1,1
1,-2.000000,0.057894,15.805059,18.420000,1,0,1,1,1
